condition,mapping,gc_threshold,workload,repetitions,read_iops,write_iops,total_iops,read_bw_mib_s,write_bw_mib_s,total_bw_mib_s,read_p99_us,write_p99_us,worst_p99_us,read_p999_us,write_p999_us,worst_p999_us,host_write_pages,gc_write_pages,waf
dftl4m-gc75,dftl,75,randread-4k-qd1,3,24142.830953,0.0,24142.830953,94.30793285369873,0.0,94.30793285369873,51.968,0.0,51.968,86.528,0.0,86.528,0.0,0.0,1.0
dftl4m-gc75,dftl,75,randread-4k-qd32,3,312512.108132,0.0,312512.108132,1220.7524404525757,0.0,1220.7524404525757,173.056,0.0,173.056,216.064,0.0,216.064,0.0,0.0,1.0
dftl4m-gc75,dftl,75,randrw30-4k-qd32,3,33466.392227,78091.781804,111558.174031,130.72874546051025,305.0474548339844,435.77620029449463,782.336,831.488,831.488,3686.4,3719.168,3719.168,5466748.0,149197.0,1.0272917280986795
dftl4m-gc75,dftl,75,randrw70-4k-qd32,3,108381.926968,46443.409277,154825.336245,423.36807346343994,181.42041301727295,604.7884864807129,643.072,700.416,700.416,995.328,1056.768,1056.768,3256632.0,92488.0,1.0283998928954823
dftl4m-gc75,dftl,75,randwrite-4k-qd1,3,0.0,4322.744621,4322.744621,0.0,16.885720252990723,16.885720252990723,0.0,411.648,411.648,0.0,477.184,477.184,302564.0,0.0,1.0
dftl4m-gc75,dftl,75,randwrite-4k-qd32,3,0.0,98381.926968,98381.926968,0.0,384.3064851760864,384.3064851760864,0.0,880.64,880.64,0.0,3850.24,3850.24,6886996.0,189018.0,1.0274940911515422
dftl4m-gc75,dftl,75,read-128k-qd1,3,10121.497975,0.0,10121.497975,1265.1872463226318,0.0,1265.1872463226318,164.864,0.0,164.864,211.968,0.0,211.968,0.0,0.0,1.0
dftl4m-gc75,dftl,75,read-128k-qd32,3,64051.232479,0.0,64051.232479,8006.470725059509,0.0,8006.470725059509,880.64,0.0,880.64,1073.152,0.0,1073.152,0.0,0.0,1.0
dftl4m-gc75,dftl,75,write-128k-qd1,3,0.0,4350.860819,4350.860819,0.0,543.8576021194458,543.8576021194458,0.0,460.8,460.8,0.0,2146.304,2146.304,9772128.0,0.0,1.0
dftl4m-gc75,dftl,75,write-128k-qd32,3,0.0,9580.491951,9580.491951,0.0,1197.626070022583,1197.626070022583,0.0,5210.112,5210.112,0.0,5406.72,5406.72,21465152.0,0.0,1.0
hybrid-gc75,hybrid,75,randread-4k-qd1,3,25626.80622,0.0,25626.80622,100.10471153259277,0.0,100.10471153259277,52.992,0.0,52.992,181.248,0.0,181.248,0.0,0.0,1.0
hybrid-gc75,hybrid,75,randread-4k-qd32,3,265944.0176,0.0,265944.0176,1038.8459014892578,0.0,1038.8459014892578,216.064,0.0,216.064,284.672,0.0,284.672,0.0,0.0,1.0
hybrid-gc75,hybrid,75,randrw30-4k-qd32,3,48.534296,113.384318,161.868576,0.18958663940429688,0.4448728561401367,0.6342639923095703,1028.096,742391.808,742391.808,2605.056,2264924.16,2264924.16,7510.0,1924586.0,257.6878504672897
